Last_name;First_name;Middle_name;Organization;Work_phone;Home_phone
Last_name0;First_name0;Middle_name0;Один;88988160649;88988160649
Last_name1;First_name1;Middle_name1;Рога и копыта;87302450740;87302450740
Last_name2;First_name2;Middle_name2;Автопрокат;89706257921;89706257921
Last_name3;First_name3;Middle_name3;Рога и копыта;81301346692;81301346692
Last_name4;First_name4;Middle_name4;МБСОШ39;86828894758;86828894758
Last_name5;First_name5;Middle_name5;Телепузики;81033293360;81033293360
Last_name6;First_name6;Middle_name6;Автопрокат;82399200062;82399200062
Last_name7;First_name7;Middle_name7;Телепузики;81234439948;81234439948
Last_name8;First_name8;Middle_name8;Телепузики;88980385329;88980385329
Last_name9;First_name9;Middle_name9;МБСОШ39;89863595046;89863595046
Last_name10;First_name10;Middle_name10;Автопрокат;88679766034;88679766034
Last_name11;First_name11;Middle_name11;МБСОШ39;84608629841;84608629841
Last_name12;First_name12;Middle_name12;Рога и копыта;89200873993;89200873993
Last_name13;First_name13;Middle_name13;Рога и копыта;84745241143;84745241143
Last_name14;First_name14;Middle_name14;Телепузики;86704350665;86704350665
Last_name15;First_name15;Middle_name15;Автопрокат;89287243901;89287243901
Last_name16;First_name16;Middle_name16;Телепузики;85348748274;85348748274
Last_name17;First_name17;Middle_name17;Рога и копыта;87824699472;87824699472
Last_name18;First_name18;Middle_name18;Автопрокат;81348179502;81348179502
Last_name19;First_name19;Middle_name19;Один;86792096657;86792096657
Last_name20;First_name20;Middle_name20;Телепузики;80802800927;80802800927
Last_name21;First_name21;Middle_name21;Телепузики;86090139784;86090139784
Last_name22;First_name22;Middle_name22;Телепузики;88241045271;88241045271
Last_name23;First_name23;Middle_name23;Автопрокат;88401058133;88401058133
Last_name24;First_name24;Middle_name24;Телепузики;82272324014;82272324014
Last_name25;First_name25;Middle_name25;Автопрокат;87160158392;87160158392
Last_name26;First_name26;Middle_name26;Автопрокат;88466551251;88466551251
Last_name27;First_name27;Middle_name27;Один;80032820416;80032820416
Last_name28;First_name28;Middle_name28;Телепузики;84368267786;84368267786
Last_name29;First_name29;Middle_name29;Один;80810583079;80810583079
Last_name30;First_name30;Middle_name30;Автопрокат;89743333020;89743333020
Last_name31;First_name31;Middle_name31;Автопрокат;80540929539;80540929539
Last_name32;First_name32;Middle_name32;Рога и копыта;87856695861;87856695861
Last_name33;First_name33;Middle_name33;Телепузики;88724968544;88724968544
Last_name34;First_name34;Middle_name34;Телепузики;89631296917;89631296917
Last_name35;First_name35;Middle_name35;Автопрокат;89046695307;89046695307
Last_name36;First_name36;Middle_name36;Рога и копыта;86519061886;86519061886
Last_name37;First_name37;Middle_name37;МБСОШ39;81163380279;81163380279
Last_name38;First_name38;Middle_name38;Рога и копыта;89378689447;89378689447
Last_name39;First_name39;Middle_name39;Автопрокат;80936237537;80936237537
Last_name40;First_name40;Middle_name40;Автопрокат;88066804753;88066804753
Last_name41;First_name41;Middle_name41;Один;89130632818;89130632818
Last_name42;First_name42;Middle_name42;Один;87019232871;87019232871
Last_name43;First_name43;Middle_name43;Телепузики;82499126848;82499126848
Last_name44;First_name44;Middle_name44;МБСОШ39;89880001806;89880001806
Last_name45;First_name45;Middle_name45;Один;85827305471;85827305471
Last_name46;First_name46;Middle_name46;МБСОШ39;88947874525;88947874525
Last_name47;First_name47;Middle_name47;МБСОШ39;84751700787;84751700787
Last_name48;First_name48;Middle_name48;МБСОШ39;80305060561;80305060561
Last_name49;First_name49;Middle_name49;МБСОШ39;81108332520;81108332520
Last_name50;First_name50;Middle_name50;Один;84254626155;84254626155
Last_name51;First_name51;Middle_name51;Автопрокат;89477137320;89477137320
Last_name52;First_name52;Middle_name52;Рога и копыта;84654141484;84654141484
Last_name53;First_name53;Middle_name53;Телепузики;88623287991;88623287991
Last_name54;First_name54;Middle_name54;Рога и копыта;88898337685;88898337685
Last_name55;First_name55;Middle_name55;Телепузики;86681197924;86681197924
Last_name56;First_name56;Middle_name56;Автопрокат;89650114370;89650114370
Last_name57;First_name57;Middle_name57;МБСОШ39;88495447402;88495447402
Last_name58;First_name58;Middle_name58;МБСОШ39;82443161023;82443161023
Last_name59;First_name59;Middle_name59;Рога и копыта;87098404171;87098404171
Last_name60;First_name60;Middle_name60;Рога и копыта;80622800243;80622800243
Last_name61;First_name61;Middle_name61;Телепузики;87793447831;87793447831
Last_name62;First_name62;Middle_name62;МБСОШ39;84674822410;84674822410
Last_name63;First_name63;Middle_name63;Телепузики;81381810020;81381810020
Last_name64;First_name64;Middle_name64;Телепузики;86598344575;86598344575
Last_name65;First_name65;Middle_name65;МБСОШ39;81237538815;81237538815
Last_name66;First_name66;Middle_name66;Автопрокат;84707368594;84707368594
Last_name67;First_name67;Middle_name67;Рога и копыта;87397732192;87397732192
Last_name68;First_name68;Middle_name68;Один;80959359360;80959359360
Last_name69;First_name69;Middle_name69;МБСОШ39;89829588896;89829588896
Last_name70;First_name70;Middle_name70;Телепузики;84631434573;84631434573
Last_name71;First_name71;Middle_name71;Телепузики;85358248911;85358248911
Last_name72;First_name72;Middle_name72;Рога и копыта;83424370599;83424370599
Last_name73;First_name73;Middle_name73;Рога и копыта;88149632455;88149632455
Last_name74;First_name74;Middle_name74;МБСОШ39;88752180854;88752180854
Last_name75;First_name75;Middle_name75;Один;83270458301;83270458301
Last_name76;First_name76;Middle_name76;Автопрокат;84340754719;84340754719
Last_name77;First_name77;Middle_name77;Один;88827466627;88827466627
Last_name78;First_name78;Middle_name78;Телепузики;89670898740;89670898740
Last_name79;First_name79;Middle_name79;Автопрокат;82483787732;82483787732
Last_name80;First_name80;Middle_name80;Рога и копыта;89322355972;89322355972
Last_name81;First_name81;Middle_name81;Один;88764733343;88764733343
Last_name82;First_name82;Middle_name82;Автопрокат;84640816724;84640816724
Last_name83;First_name83;Middle_name83;Телепузики;89619007229;89619007229
Last_name84;First_name84;Middle_name84;МБСОШ39;87640825485;87640825485
Last_name85;First_name85;Middle_name85;Телепузики;86729842509;86729842509
Last_name86;First_name86;Middle_name86;Автопрокат;86965383504;86965383504
Last_name87;First_name87;Middle_name87;Рога и копыта;85482855427;85482855427
Last_name88;First_name88;Middle_name88;МБСОШ39;80897770916;80897770916
Last_name89;First_name89;Middle_name89;МБСОШ39;82295766252;82295766252
Last_name90;First_name90;Middle_name90;Автопрокат;88989343890;88989343890
Last_name91;First_name91;Middle_name91;Автопрокат;82243705959;82243705959
Last_name92;First_name92;Middle_name92;МБСОШ39;81628591231;81628591231
Last_name93;First_name93;Middle_name93;Рога и копыта;81621601475;81621601475
Last_name94;First_name94;Middle_name94;Рога и копыта;87907719177;87907719177
Фамилия;Итя;Отчество;Один;86264078452;86264078452
Last_name96;First_name96;Middle_name96;Телепузики;84194241241;84194241241
97;Имя;Отчество;МБСОШ39;82462042596;82462042596
Last_name98;First_name98;Middle_name98;Телепузики;81828243602;81828243602
Last_name99;First_name99;Middle_name99;Рога и копыта;85142163808;85142163808
